मैडेलिन पयू सटाफ लेखक	మయాడలిన పయూ సటాఫ రెటర
वह बोलते हुए तुम मेज तक आओगे.	ఆ డెలాగతో టేబుల వదదకు వెళళాలి.
बात तुमहारी या बिल की नहीं है.	నీ గురించి, బిల గురించి కాదు.
-सकरिपट में यही लिखा है. -हाँ.	-సకరిపట వరణిసతుననావు. -అవును.
-कभी किसी बैठक में गई? -नहीं.	-సమావేశానికి వెళళావా? -లేదు.
"मैं एंजी हूँ, कोरस में हूँ.	"నా పేరు ఆంజీ, కోరసలో ఉననాను.
-नहीं, लूसी. -सही कहा, सॉरी.	-కాదు, లూసీ. -నిజమే, మననించు.
शायद न करें. कहना मुशकिल है.	రాము అనుకుంటాను. చెపపటం కషటం.
-गेहरिक उसका चेला था. -बैकअप.	-గెహరిగ తన అసిసటెంట. -బయాకప.
मैं नयूयॉरक में गाना चाहूँगा.	నయూయారకలో అమమాలనుకుంటుననాను.
पर अंदाजा लगाने के खेल के बजाय, रिकी बस वहाँ खडा रहता है.	కానీ ఎవరో చెపపుకో ఆడటానికి బదులు రికీ అకకడే నిలచుంటాడు.
पलीज, शांत. रिहरसल शुरू है.	నిశశబదం. రిహారసల మొదలయయింది.
मुझे नहीं लगता कि ऐसा होगा.	నేను పందానికి ఆ పకకన ఉంటాను.
"बताना चाहती हूँ कि पीते हुए अपने कपडे उतार देती हूँ. "	తాగినపపుడు, నా బటటలు తీసేసతానని చెపపాలనుకుంటుననాను. "
