पहला खिलाडी हेंक रॉजरस	మొదటి పలేయర హెంక రాజరస
और यह मेरा बेटा है.	ఇతను మా అబబాయి.
और फिर हम हैंडहेलड की बात कर सकते हैं.	హయాండ హెలడ గురించి చరచించవచచు.
तुम नहीं समझती.	మీకు అరథం కావటలేదు.
तुम यहाँ "टेटरिस" के लिए आए हो, है ना?	మీరు "టెటరిస" కోసం వచచారు కదా?
लियो तीन साल का है.	లియోకి మూడేళలు.
मेरा मतलब है, इसीलिए मैं मॉसको आया था.	నేను కూడా అందుకే మాసకోకి వచచా.
कया तुम जानती हो तुमहारा पति कहाँ हैं?	మీ భరత ఎకకడుననాడో మీకు తెలుసా?
सकूल जा रहे हो?	సకూలుకు వెళతుననారా?
साशा केजीबी है?	సాషా కేజీబీ ఏజెంటా?
माफ कीजिए, हमें थोडी देर हो गई है. . .	సారీ, కాసత ఆలసయం అవుతోంది. . .
