मुकदमे चलाने को कहा.	అలఫోనసిన ఆదేశించారు.
ठीक है.	సరే.
आरोप-पतर जारी करेंगे जिसमें वह पूरव सैनय सरकार पर लगे	ఆరోపించబడిన హతయలు, ఇతర నేరాలకు
वह मदद करेगी.	ఆమె నీకు సాయం చేసతుంది.
जमहाई लेते हुए कलपना कर रहा हूँ.	నీ మాటలు వింటుంటే.
युवा वकीलों को लाने का विचार सही लगता है.	అని నేను అనుకుంటుననాను.
ऐसी गरत है जिसे पहले से सोच पाना और बाद में	పరిసథితులను ఎదురకొననారు,
शुकरिया, सजजनो.	సరే, ధనయవాదాలు, మహాశయులారా.
नहीं.	చెపపలేను.
जरूर.	తపపకుండా.
सब दे दो.	అంతా.
नहीं.	ఏమీ లేవు.
माफ करना.	సారీ.
वाकई?	నిజంగానా?
जज साहिबान, इन सब कारणों से यह मुकदमा और इसकी दोष-सिदधि अरजेंटीना देश के लिए	దీని అంతటికీ, ఈ విచారణ, శికషలు చాలా ముఖయం,
