जैज. जैज 124.	జాజ. జాజ 124.
-आपसे पयार है. -तुमसे पयार है.	-నువవంటే ఇషటం. -నువవంటే ఇషటం.
ताकि हम इस विमान को उतार सकें.	ఈ విమానం దిగడంలో సాయపడటానికి.
कुछ दिन बाद उनहोंने उपकरण रेटिंग पायलट का टरेनिंग कोरस किया.	పరికరాల ఆధారిత పెలెట కావడానికి ఫాసటటరాక శికషణ తీసుకుననాడు.
ऑटोपायलट के लिए एक बटन है, उसका नाम उडन कीडे को मोडना है.	ఆటోపెలెటతో సాయం చేయడానికి ఓ మీట ఉంది, దిశ మారచే మీట అంటారు.
ठीक हूँ. बेघर लोगों को खिलाना, गंदगी साफ करना अचछा लगता है	బాగుననా. పేదవారికి వడడించి వారి చెతత శుభరం చేయడం నాకిషటం
वह फूल रही है कया? खारिश है?	తనకు వాచిందా? దదదురలు వచచాయా?
-उनहोंने उससे झूठ कहा. -कया?	-అతనికి అబదధం చెపపారు. -ఏంటి?
-देखो, जमीन पर उतरने ही वाले हैं. -कमजोरी है. हम कहाँ हैं?	-చూడు, మనం దాదాపు నేలపె ఉననాం. -నీరసంగా ఉంది. ఎకకడుననాం?
हैलो! पलीज फोन मत रखना! हैलो!	హలో! దయచేసి ఫోన పెటటకు! హాయ!
मैं समंदर तक नहीं जाने वाला!	సముదరంలోకి తొకకుకుంటూ వెళళను!
वे फिर आ गए! वे घूमकर आए! दोबारा अवतरण के लिए आ रहे हैं!	వచచారు! ఆకాశంలో చుటటి వచచారు! మరోసారి దిగటానికి వసతుననారు!
