पलीज . पलीज .	పలీజ . పలీజ .
अगर हम इस ना सु ध र पा ने वाले को सु धा र स के . . .	మేము గ నుక ఈ వి మో చి ం ప లేని వాడిని వి మో చి సతే . . .
- मेरे खया ल से . यह ठीक है . - मेरे खया ल से . हाँ .	- అనుకుంటా . ఈ యన బాగానే ఉననాడు . - అను కు ంట . అవును .
मुझे माफ कर दो ! नहीं ! पलीज ! मैं बदल सकती हूँ .	ననను కషమి ంచండి ! వదదు ! పలీజ ! నేను మా రి పో తాను .
क लि ंट ब रि ग स . स ें ट प ॉल , मि ने सो टा में प ला - बढ ा .	కలి ంట బ రి గ స . సె యి ంట పాల , మి నన సో ట ాలో పె రి గా డు .
शुकरिया . लेकिन हमें बस . . . हमें चल ना चाहिए .	థాంక స . కానీ మేము కొంచెం . . . మేము ఇక వెళళ ాలి .
जान . कया तुमहें अपनी बहन के लिए खुशी नहीं है ?	బు జ జి . నీ అ కక ను చూ సతు ంటే నీకు సంతోష ంగా లేదా ?
मैं नहीं चाहता उस बचचे के साथ कुछ हो , ठीक है ?	ఆ కు ర రా డి కి ఏమీ కా వడం నాకు ఇషటం లేదు , సరేనా ?
कितनी लं बी थी ? मतलब , तुमहारी बाकी की जिंदगी .	అలా ఎంత కాల ం ఉననావు ? నీ శ ే ష జీవితం గురించి .
अ ती त के र म जान का भ ूत , आने - वाले ह न ु का का भ ूत .	ఘ ో సట ఆ ఫ ర మ దా న పా సట . ఘ ో సట ఆ ఫ హా నుక ఎ ట - టు - క మ .
जाने दी जिए . यह बे कार आई ड िया था . माफ कीजिए .	అద ంతా వదిలే య . ఇది చెతత ఐ డి యా . ననను కషమించు .
बस रुको . नहीं . तुम लोग उसे नहीं देख पा ओ गे .	కొంచెం ఓ పి క గా ఉ ండు . లేదు . అది మీరు చూడ లే రు .
